historical.coupPPE.000,default,default
historical.coupPPE.001,dleaf,min
historical.coupPPE.002,dleaf,max
historical.coupPPE.003,d_max,min
historical.coupPPE.004,d_max,max
historical.coupPPE.005,maximum_leaf_wetted_fraction,min
historical.coupPPE.006,maximum_leaf_wetted_fraction,max
historical.coupPPE.007,fff,min
historical.coupPPE.008,fff,max
historical.coupPPE.009,medlynslope,min
historical.coupPPE.010,medlynslope,max
historical.coupPPE.011,medlynintercept,min
historical.coupPPE.012,medlynintercept,max
historical.coupPPE.013,Jmaxb0,min
historical.coupPPE.014,Jmaxb0,max
historical.coupPPE.015,kmax,min
historical.coupPPE.016,kmax,max
historical.coupPPE.017,psi50,min
historical.coupPPE.018,psi50,max
historical.coupPPE.019,FUN_fracfixers,min
historical.coupPPE.020,FUN_fracfixers,max
historical.coupPPE.021,leafcn,min
historical.coupPPE.022,leafcn,max
historical.coupPPE.023,lmrha,min
historical.coupPPE.024,lmrha,max
historical.coupPPE.025,KCN,min
historical.coupPPE.026,KCN,max
historical.coupPPE.027,ACCLIM_SF,min
historical.coupPPE.028,ACCLIM_SF,max
